TIME GRAPH   ORDER   SIZE    AG
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00011	   Digraph	005	011	      dijk	
0.00013	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00473	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00015	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00014	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00012	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00013	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00010	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00012	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00012	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00012	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00009	   Digraph	005	011	      dijk	
0.00030	   Digraph	005	012	      bell	
0.00027	   Digraph	005	012	      bell	
0.00027	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00019	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00019	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00027	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00021	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00020	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00022	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00025	   Digraph	005	012	      bell	
0.00023	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00026	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
0.00024	   Digraph	005	012	      bell	
